,Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
57,Saldanha,ZA,-33.01,17.94,51.8,76,0,8.05
58,Barrow,US,71.29,-156.79,39.2,86,90,14.99
59,Norman Wells,CA,65.28,-126.83,50.0,66,75,2.24
60,Vicuña,CL,-30.03,-70.71,55.4,82,40,13.87
61,Kavieng,PG,-2.57,150.8,83.55,78,30,12.26
62,Hithadhoo,MV,-0.6,73.08,81.66,77,89,13.38
63,Warmbad,NA,-28.45,18.73,60.73,27,0,14.03
64,Kaitangata,NZ,-46.28,169.85,51.01,66,100,4.0
65,Iqaluit,CA,63.75,-68.51,39.2,69,20,12.75
66,Najrān,SA,17.49,44.13,75.2,22,5,4.25
67,Grindavik,IS,63.84,-22.43,41.0,71,40,23.04
68,Atuona,PF,-9.8,-139.03,78.66,74,16,19.69
69,Melo,UY,-32.37,-54.18,48.63,73,20,6.02
70,Kasongo,CD,-4.45,26.67,71.19,92,82,2.59
71,Santiago del Estero,AR,-27.8,-64.26,70.63,23,0,8.25
72,Jamestown,US,42.1,-79.24,62.56,33,1,2.59
73,Meulaboh,ID,4.14,96.13,77.7,87,78,4.52
74,Jalu,LY,29.03,21.55,73.62,66,0,10.74
75,Roald,NO,62.58,6.13,47.8,93,75,9.17
76,Dunedin,NZ,-45.87,170.5,52.93,63,99,6.38
77,Pāvilosta,LV,56.89,21.19,59.0,93,74,11.41
78,Korla,CN,41.76,86.15,60.39,41,0,2.82
79,Hilo,US,19.73,-155.09,80.26,54,90,5.82
80,Cape Town,ZA,-33.93,18.42,54.88,66,0,14.99
81,Sola,VU,-13.88,167.55,77.0,94,90,5.82
82,Safi,MA,32.3,-9.24,71.19,79,50,17.22
83,Bengkulu,ID,-3.8,102.27,75.9,84,100,4.03
84,Severo-Kuril'sk,RU,50.68,156.12,51.62,74,79,0.98
85,Kalmunai,LK,7.42,81.82,80.92,69,100,8.21
86,Baker City,US,44.77,-117.83,78.39,17,1,12.75
87,Chifeng,CN,42.27,118.96,49.89,67,0,5.01
88,Tuktoyaktuk,CA,69.45,-133.04,37.4,74,75,3.36
89,Hermanus,ZA,-34.42,19.23,44.01,92,0,10.65
90,Anito,PH,12.45,125.29,80.13,87,100,5.39
91,Juneau,US,58.3,-134.42,54.73,76,75,16.11
92,Bereda,ES,43.27,-7.54,60.3,100,39,1.01
93,Mar del Plata,AR,-38.0,-57.56,46.45,70,0,8.05
94,Sternberk,CZ,49.73,17.3,54.46,84,0,3.29
95,Abnūb,EG,27.27,31.15,82.4,48,0,10.29
96,Kurduvādi,IN,18.08,75.43,75.52,89,100,9.17
97,Vao,NC,-22.67,167.48,69.6,78,8,18.3
98,Arraial do Cabo,BR,-22.97,-42.03,73.4,88,75,12.75
99,Lompoc,US,34.64,-120.46,65.08,68,1,16.11
100,Ntoum,GA,0.38,9.78,78.8,83,40,6.93
101,Butaritari,KI,3.07,172.79,83.16,76,14,15.55
102,Mahébourg,MU,-20.41,57.7,69.8,68,40,13.87
103,Buriti Bravo,BR,-5.84,-43.83,88.45,38,87,4.85
104,Tiksi,RU,71.69,128.87,42.42,87,78,12.84
105,Ribeira Grande,PT,38.52,-28.7,68.0,77,40,10.29
106,Vangaindrano,MG,-23.35,47.6,69.37,85,93,7.85
107,Thompson,CA,55.74,-97.86,55.4,93,90,9.17
108,Neuquén,AR,-38.95,-68.06,71.6,24,62,2.24
109,Fairbanks,US,64.84,-147.72,47.68,70,40,1.63
110,Mossamedes,AO,-15.2,12.15,65.75,86,91,0.85
111,Geraldton,AU,-28.77,114.6,44.6,93,0,5.82
112,Mandalgovi,MN,45.76,106.27,43.95,55,0,8.32
113,Chokurdakh,RU,70.63,147.92,38.82,79,3,8.48
114,Cam Ranh,VN,11.92,109.16,82.4,88,20,3.36
115,Kiryat Gat,IL,31.61,34.76,75.02,78,0,6.29
116,Flinders,AU,-34.58,150.86,65.43,52,15,1.99
117,Ilulissat,GL,69.22,-51.1,28.4,92,91,3.36
118,Xining,CN,36.62,101.77,50.36,80,68,2.55
119,Morros,BR,-9.45,-46.3,86.68,23,65,2.3
120,Port Alfred,ZA,-33.59,26.89,55.63,77,13,6.46
121,Port Hardy,CA,50.7,-127.42,55.4,93,75,4.7
122,Hamilton,US,39.18,-84.53,71.71,35,1,4.7
123,Qaqortoq,GL,60.72,-46.03,35.6,69,95,2.24
124,Uchiza,PE,-8.46,-76.46,82.26,63,100,1.25
125,Gaoual,GN,11.75,-13.2,74.01,94,69,0.31
126,Morón,AR,-34.65,-58.62,56.53,47,5,9.17
127,Kamaishi,JP,39.27,141.88,66.02,70,62,3.42
128,Ukiah,US,39.15,-123.21,86.94,18,1,12.75
129,Nouadhibou,MR,20.93,-17.03,78.8,83,89,10.29
130,Pevek,RU,69.7,170.31,37.36,79,96,13.02
131,Byron Bay,AU,-28.65,153.62,70.86,83,35,14.99
132,Aleksandrovsk,RU,59.16,57.56,34.0,100,99,3.87
133,Sassandra,CI,4.95,-6.08,75.88,91,99,6.51
134,Souillac,MU,-20.52,57.52,69.8,68,40,13.87
135,Katherine,AU,-14.47,132.27,75.2,88,6,4.7
136,Cairns,AU,-16.92,145.77,74.08,73,90,8.05
137,Talnakh,RU,69.49,88.4,48.2,76,99,26.84
138,Salalah,OM,17.02,54.09,78.8,94,75,4.7
139,Havre-St-Pierre,CA,50.23,-63.6,47.46,72,0,14.45
140,Jambi City,ID,-1.6,103.62,71.19,97,98,3.47
141,Castro,BR,-24.79,-50.01,57.29,81,96,9.71
142,George Town,MY,5.41,100.34,75.09,88,40,8.05
143,Haines Junction,CA,60.75,-137.51,51.03,52,79,7.65
144,Idar,DE,49.72,7.3,58.17,55,0,8.05
145,Amlapura,ID,-8.45,115.62,77.0,100,75,5.82
146,Kenora,CA,49.82,-94.43,64.2,63,90,21.92
147,Rawson,AR,-43.3,-65.1,65.28,26,85,10.92
148,Firminy,FR,45.39,4.29,61.83,88,96,3.36
149,Nome,US,64.5,-165.41,48.07,61,40,9.17
150,Port Elizabeth,ZA,-33.92,25.57,53.6,81,0,5.82
151,Kalāleh,IR,37.38,55.49,66.2,72,20,4.7
152,Torbay,CA,47.67,-52.73,49.59,61,20,9.17
153,Narsaq,GL,60.92,-46.05,35.6,69,94,2.24
154,Camaná,PE,-16.62,-72.71,63.3,72,32,7.02
155,Santa Isabel Rio Negro,BR,-0.41,-65.02,87.76,53,68,1.7
156,Kâhta,TR,37.79,38.62,71.6,40,0,8.05
157,Kahului,US,20.89,-156.47,84.92,41,20,14.99
158,Hammerfest,NO,70.66,23.68,44.6,87,75,8.05
159,Tuatapere,NZ,-46.13,167.68,57.99,60,90,14.0
160,Upernavik,GL,72.79,-56.15,29.59,85,96,2.98
161,Nyurba,RU,63.28,118.33,42.37,91,29,4.41
162,Mount Gambier,AU,-37.83,140.77,50.0,93,75,14.99
163,Rome,US,34.26,-85.16,72.16,35,1,5.82
164,Carnarvon,AU,-24.87,113.63,53.6,76,0,10.29
165,Santa Rosa,PH,14.31,121.11,81.14,83,20,1.86
166,Airai,TL,-8.93,125.41,59.95,92,100,2.89
167,Bokoro,TD,12.38,17.06,79.77,65,14,9.93
168,Totness,SR,5.88,-56.32,80.65,84,49,9.66
169,Pulandian,CN,39.4,121.97,56.44,93,0,3.47
170,Paamiut,GL,61.99,-49.67,37.76,87,100,6.24
171,Chancay,PE,-11.57,-77.27,65.71,68,40,9.17
172,Slave Lake,CA,55.28,-114.77,57.2,54,90,16.11
173,Mogadishu,SO,2.04,45.34,76.98,81,34,16.93
174,Hervey Bay,AU,-25.3,152.85,73.0,89,20,3.0
175,Dikson,RU,73.51,80.55,46.96,90,60,29.12
176,Takoradze,GH,4.88,-1.76,74.52,91,62,7.94
177,Posse,BR,-14.09,-46.37,83.71,30,98,5.26
178,Río Gallegos,AR,-51.62,-69.22,53.6,37,55,9.17
179,Kothi,IN,24.75,80.78,77.38,88,100,8.81
180,Arrondissement de Morlaix,FR,48.58,-4.0,60.53,93,90,1.14
181,Ibb,YE,13.97,44.18,65.91,68,81,0.85
182,Virginia Beach,US,36.85,-75.98,64.17,67,22,3.0
183,Conde,BR,-7.26,-34.91,78.8,78,20,8.05
184,Warri,NG,5.52,5.75,76.14,90,100,3.38
185,Chui,UY,-33.7,-53.46,46.09,76,15,9.48
186,Powell,US,40.16,-83.08,69.08,30,1,5.82
187,Esperance,AU,-33.87,121.9,48.2,100,52,13.87
188,Murgab,TM,37.5,61.97,64.4,45,0,6.93
189,Srednekolymsk,RU,67.45,153.68,36.97,74,0,7.61
190,Cabo San Lucas,MX,22.89,-109.91,88.12,70,40,11.41
191,Coracora,PE,-15.03,-73.78,59.04,34,4,9.86
192,Maiduguri,NG,11.85,13.16,74.82,79,0,0.67
193,Dingle,PH,11.0,122.67,75.42,84,92,2.04
194,Ploemeur,FR,47.73,-3.43,62.62,88,90,4.7
195,Broken Hill,AU,-31.95,141.43,51.8,71,0,9.17
196,The Pas,CA,53.83,-101.25,64.4,63,1,17.22
197,Poum,NC,-20.23,164.02,72.32,66,0,8.37
198,Saint Anthony,US,45.02,-93.22,76.46,47,1,6.93
199,Hobyo,SO,5.35,48.53,76.32,82,86,25.72
200,Laas,IT,46.62,10.7,59.0,100,90,3.36
201,Isla Mujeres,MX,21.23,-86.73,86.0,74,40,7.34
202,Angoche,MZ,-16.23,39.91,73.6,81,0,7.7
203,Saint-Philippe,RE,-21.36,55.77,63.93,64,75,8.05
204,Mahajanga,MG,-15.72,46.32,73.4,88,20,3.36
205,Freeport,US,40.66,-73.58,63.1,36,1,8.05
206,Manakara,MG,-22.13,48.02,66.92,91,2,7.31
207,Loa Janan,ID,-0.58,117.09,73.87,97,39,2.93
208,Vermilion,US,40.17,-87.75,75.25,31,1,8.05
209,La Ronge,CA,55.1,-105.28,69.8,43,5,6.93
210,Alofi,NU,-19.06,-169.92,77.0,78,75,14.99
211,Khor,RU,47.89,134.95,46.58,90,35,3.06
212,Cayenne,GF,4.93,-52.33,82.4,74,34,9.17
213,Broome,US,42.25,-75.83,62.65,31,1,3.2
214,Adrar,MR,20.5,-10.07,95.79,22,28,5.17
215,Huarmey,PE,-10.07,-78.15,65.16,75,86,9.42
216,Sioux Lookout,CA,50.1,-91.92,66.2,55,90,14.99
217,Vanderhoof,CA,54.02,-124.02,60.28,45,1,2.42
218,Along,IN,28.17,94.77,73.8,90,100,1.32
219,Ixtapa,MX,20.7,-105.2,88.79,66,75,9.17
220,Vardø,NO,70.37,31.11,42.8,93,75,10.29
221,Augusto Corrêa,BR,-1.02,-46.63,79.14,78,97,6.85
222,Hong Kong,HK,22.29,114.16,81.84,85,49,1.01
223,Irbeyskoye,RU,55.64,95.45,46.87,91,28,3.18
224,Glenwood Springs,US,39.55,-107.32,80.91,10,1,17.22
225,Viedma,AR,-40.81,-63.0,64.0,24,99,4.0
226,Khatanga,RU,71.97,102.5,40.78,78,0,6.29
227,Tilichiki,RU,60.47,166.1,38.55,76,31,6.91
228,Seymchan,RU,62.88,152.43,34.59,83,0,3.13
229,Vestmannaeyjar,IS,63.44,-20.27,44.01,62,100,23.8
230,Kedrovyy,RU,56.17,91.82,39.2,100,9,3.47
231,Almaznyy,RU,48.04,40.05,46.4,42,1,2.24
232,Culaba,PH,11.66,124.54,81.09,78,100,2.89
233,Praia da Vitória,PT,38.73,-27.07,67.14,77,20,15.21
234,Kushmurun,KZ,52.45,64.63,42.22,72,56,10.16
235,Davila,PH,18.47,120.58,77.0,94,20,2.24
236,Bartica,GY,6.4,-58.62,87.8,66,20,10.29
237,Ostrovnoy,RU,68.05,39.51,47.53,88,100,23.04
238,Klaksvík,FO,62.23,-6.59,46.4,75,64,8.05
239,São João da Barra,BR,-21.64,-41.05,75.2,83,90,6.93
240,Seoul,KR,37.57,126.98,57.38,77,75,3.91
241,Bela,IN,25.93,81.98,79.02,90,93,8.34
242,Fortuna,US,40.6,-124.16,71.74,56,20,12.75
243,Key West,US,24.56,-81.78,86.5,70,40,13.87
244,Clyde River,CA,70.47,-68.59,32.0,94,75,13.87
245,Saint Paul Harbor,US,57.79,-152.41,51.8,81,90,24.16
246,Coyhaique,CL,-45.58,-72.07,50.0,57,75,10.29
247,Santa Vitória do Palmar,BR,-33.52,-53.37,46.69,75,11,9.64
248,Vilhena,BR,-12.74,-60.15,87.8,48,40,8.05
249,Maxixe,MZ,-23.86,35.35,70.81,73,74,20.56
250,Albion,US,42.24,-84.75,70.45,33,1,6.93
251,Mount Isa,AU,-20.73,139.5,71.6,94,40,5.82
252,Fort Frances,CA,48.6,-93.4,76.87,33,1,18.34
253,Myanaung,MM,18.28,95.32,76.1,97,100,6.8
254,Grahamstown,ZA,-33.3,26.53,43.84,97,1,5.14
255,Russell,US,32.35,-85.2,72.64,44,1,10.29
256,San Jose,US,37.34,-121.89,83.71,42,90,10.29
257,Tateyama,JP,34.98,139.87,68.49,86,38,13.27
258,Faanui,PF,-16.48,-151.75,78.57,80,4,20.58
259,Ilhéus,BR,-14.79,-39.05,78.8,83,40,5.82
260,Valparai,IN,10.37,76.97,77.0,100,75,7.34
261,St. George's,GD,12.06,-61.75,87.8,74,20,17.22
262,Porto-Novo,BJ,6.5,2.6,80.6,83,40,16.11
263,Ambulu,ID,-8.35,113.61,74.84,91,91,1.52
264,San Patricio,MX,19.22,-104.7,89.6,75,40,11.41
265,San Quintín,MX,30.48,-115.95,77.2,59,0,12.3
266,Soke,ML,13.6,-5.94,82.98,61,0,8.39
267,Moyale,KE,3.52,39.06,72.45,48,0,7.85
268,Lebu,CL,-37.62,-73.65,50.77,81,95,14.2
269,Mareeba,AU,-17.0,145.43,71.71,73,90,10.29
270,São Filipe,CV,14.9,-24.5,80.19,82,75,5.14
271,Tromsø,NO,69.65,18.96,42.8,87,75,28.86
272,Port Lincoln,AU,-34.73,135.87,54.41,70,28,22.62
273,Juegang,CN,32.32,121.19,67.19,84,100,5.5
274,Tàrrega,ES,41.65,1.14,63.64,73,0,3.33
275,Henties Bay,NA,-22.12,14.28,52.0,95,2,5.99
276,Longyearbyen,SJ,78.22,15.64,37.4,86,75,14.99
277,Berlevåg,NO,70.86,29.09,40.06,93,75,5.82
278,Bonga,ET,7.28,36.23,58.41,89,19,1.45
279,Vizinga,RU,61.07,50.1,38.73,96,92,5.77
280,Gigmoto,PH,13.78,124.39,79.81,83,100,5.21
281,Inverell,AU,-29.78,151.12,62.87,92,93,5.99
282,Inírida,CO,3.87,-67.92,84.34,72,76,1.7
283,Mānsa,IN,29.98,75.38,78.21,33,0,5.5
284,Vostok,RU,46.49,135.88,43.48,93,0,1.77
285,Zhaoyang,CN,42.68,126.03,51.49,84,100,4.05
286,Black River,JM,18.03,-77.85,87.87,70,20,9.17
287,Deputatsky,RU,69.3,139.9,36.41,84,1,4.45
288,Samarai,PG,-10.62,150.67,79.21,87,53,13.0
289,Neiafu,TO,-18.65,-173.98,77.0,78,75,10.29
290,Honningsvåg,NO,70.98,25.97,44.6,93,75,3.36
291,Nanortalik,GL,60.14,-45.24,37.51,81,80,8.3
292,Glyadyanskoye,RU,54.91,65.09,39.6,81,96,9.37
293,Saint-Pierre,RE,-21.34,55.48,62.92,64,75,8.05
294,Bathsheba,BB,13.22,-59.52,86.0,70,40,10.29
295,Al Bardīyah,LY,31.76,25.09,72.57,68,3,6.02
296,Lishui,CN,28.46,119.91,67.32,82,98,1.5
297,Chapais,CA,49.78,-74.85,64.4,45,1,16.11
298,Moussoro,TD,13.64,16.49,83.39,54,41,13.94
299,Abalak,RU,58.13,68.59,38.46,92,100,8.88
300,Atambua,ID,-9.11,124.89,72.61,85,100,3.67
301,Zhengjiatun,CN,43.51,123.51,54.75,90,85,5.77
302,Ponta do Sol,PT,32.67,-17.1,68.32,78,20,3.36
303,Champerico,GT,14.3,-91.92,75.61,66,75,13.87
304,Wajir,KE,1.75,40.06,75.36,64,60,15.7
305,Majene,ID,-3.54,118.97,78.12,86,35,5.79
306,Grand Gaube,MU,-20.01,57.66,71.01,65,17,8.01
307,Luau,AO,-10.71,22.22,76.01,59,54,6.51
308,Codrington,AU,-38.27,141.97,50.72,88,90,17.02
309,Limburg,NL,51.25,6.0,56.23,78,0,3.96
310,Vila Velha,BR,-20.33,-40.29,76.46,73,20,14.99
311,Birao,CF,10.28,22.79,73.71,92,100,4.09
312,Bambous Virieux,MU,-20.34,57.76,70.38,68,40,13.87
313,Provideniya,RU,64.38,-173.3,42.8,60,31,4.47
314,Pudozh,RU,61.81,36.53,51.62,90,100,13.85
315,Kavaratti,IN,10.57,72.64,82.15,77,100,25.17
316,Achutupo,PA,9.2,-77.98,82.76,77,100,5.44
317,Mayor Pablo Lagerenza,PY,-19.93,-60.77,69.12,42,70,7.81
318,Te Anau,NZ,-45.42,167.72,50.56,79,66,10.63
319,Japura,ID,-0.32,102.35,71.4,97,100,1.79
320,Touros,BR,-5.2,-35.46,78.8,74,62,11.41
321,Progreso,MX,21.28,-89.67,92.98,53,75,9.01
322,Laguna,US,38.42,-121.42,91.08,24,5,4.7
323,Buala,SB,-8.14,159.59,83.26,75,87,9.28
324,Sukumo,JP,32.93,132.73,65.28,70,37,5.21
325,Noyabrsk,RU,63.2,75.45,41.63,80,13,18.3
326,Burnie,AU,-41.07,145.92,50.83,87,100,11.01
327,Rapid Valley,US,44.06,-103.15,78.71,24,1,11.41
328,Belaya Gora,RU,68.53,146.42,37.35,77,0,5.75
329,Mafinga,TZ,-7.25,35.07,67.84,67,0,5.5
330,Sarangani,PH,5.4,125.46,84.18,71,61,5.61
331,Bubaque,GW,11.28,-15.83,80.37,80,97,11.1
332,Ossora,RU,59.24,163.07,43.63,62,0,3.56
333,Äänekoski,FI,62.69,25.82,55.18,82,100,13.87
334,Ancud,CL,-41.87,-73.82,55.0,73,78,1.99
335,Challans,FR,46.84,-1.87,62.73,93,90,4.7
336,Ulladulla,AU,-35.35,150.47,52.95,42,0,12.75
337,Seddon,AU,-37.81,144.89,56.41,66,22,11.41
338,Båtsfjord,NO,70.63,29.72,39.2,93,75,5.82
339,Doka,SD,13.52,35.77,74.19,85,72,7.72
340,Natal,BR,-5.79,-35.21,78.8,74,20,10.29
341,Tulun,RU,54.56,100.58,40.95,95,8,5.32
342,Nizhneivkino,RU,58.19,49.52,38.3,95,61,7.83
343,Ipojuca,BR,-8.4,-35.06,80.6,74,40,8.05
344,Whitehorse,CA,60.72,-135.05,53.01,50,75,14.99
345,Bariloche,AR,-41.15,-71.31,58.21,19,12,23.04
346,Yarmouth,US,41.71,-70.23,56.88,58,0,1.01
347,Hohhot,CN,40.81,111.65,48.2,61,19,6.71
348,Erzin,TR,36.96,36.2,80.01,77,2,1.63
349,Gibsons,CA,49.4,-123.5,69.73,64,75,6.93
350,Wellington,NZ,-41.29,174.78,57.81,67,0,27.51
351,Labuhan,ID,-6.88,112.21,78.48,81,93,9.75
352,Luleå,SE,65.58,22.15,50.0,53,0,16.11
353,Marck,FR,50.95,1.94,55.67,95,0,1.45
354,Romanovo,RU,52.62,81.23,50.34,55,32,11.27
355,Ribeira Brava,PT,32.65,-17.07,68.2,78,20,3.36
356,Eureka,US,40.8,-124.16,70.14,72,74,4.0
357,Toora-Khem,RU,52.47,96.11,38.68,84,0,0.76
358,Soure,BR,-0.72,-48.52,81.57,79,29,19.39
359,Lluta,PE,-16.01,-72.01,53.22,44,0,6.87
360,Puerto Nariño,CO,-3.77,-70.38,77.0,100,75,8.05
361,Béboto,TD,8.27,16.94,72.37,95,99,3.51
362,Baijiantan,CN,45.63,85.18,61.59,36,0,1.03
363,Khonsa,IN,27.02,95.57,69.55,97,100,1.43
364,Truckee,US,39.33,-120.18,72.68,12,5,11.41
365,Mayumba,GA,-3.43,10.66,74.19,86,94,8.1
366,Ahipara,NZ,-35.17,173.17,60.96,72,18,6.71
367,Yerbogachën,RU,61.28,108.01,36.27,90,0,1.79
368,Otukpo,NG,7.19,8.13,72.9,87,0,1.45
369,Varhaug,NO,58.61,5.65,50.67,99,100,9.26
370,Gornopravdinsk,RU,60.05,69.9,40.17,93,100,9.17
371,Port Shepstone,ZA,-30.74,30.45,59.94,66,29,10.98
372,Liverpool,GB,53.41,-2.98,55.9,93,1,6.93
373,Colquechaca,BO,-18.67,-66.02,43.48,52,15,8.5
374,Berdigestyakh,RU,62.1,126.7,40.48,71,0,2.48
375,Kudahuvadhoo,MV,2.67,72.89,82.27,79,99,14.47
376,Buin,CL,-33.73,-70.75,76.06,33,40,8.05
377,Aklavik,CA,68.22,-135.01,39.2,80,90,5.82
378,Lensk,RU,60.73,114.93,44.51,91,67,3.24
379,Yeppoon,AU,-23.13,150.73,73.4,83,75,5.82
380,College,US,64.86,-147.8,47.5,61,40,3.36
381,Hambantota,LK,6.12,81.12,75.2,100,75,4.7
382,Dakar,SN,14.69,-17.44,78.8,88,48,4.7
383,Kumul,CN,42.8,93.45,58.59,55,0,6.31
384,Mnogovershinnyy,RU,53.94,139.92,43.92,90,46,2.62
385,Piranhas,BR,-16.43,-51.82,81.93,46,72,10.49
386,Talara,PE,-4.58,-81.27,65.01,83,33,13.85
387,Myre,NO,69.1,15.95,46.4,81,75,40.26
388,Krasnyy Kut,RU,50.95,46.97,51.55,58,100,9.26
389,Garoowe,SO,8.41,48.48,77.34,57,64,24.79
390,Mayya,RU,61.73,130.28,26.6,86,16,4.47
391,Lavrentiya,RU,65.58,-171.0,39.69,72,87,10.94
392,Danshui,CN,22.8,114.47,80.28,99,89,6.51
393,Trairi,BR,-3.28,-39.27,76.78,76,10,9.69
394,Bilma,NE,18.69,12.92,91.29,13,7,8.3
395,Miracema do Tocantins,BR,-9.56,-48.4,83.77,51,76,2.66
396,Dalaba,GN,10.7,-12.25,62.73,100,15,1.45
397,Tocopilla,CL,-22.09,-70.2,66.29,47,20,9.15
398,Paita,PE,-5.09,-81.11,65.43,79,37,15.79
399,Zhezkazgan,KZ,47.8,67.71,43.2,63,0,9.22
400,Hofn,IS,64.25,-15.21,41.7,64,0,10.96
401,Enumclaw,US,47.2,-121.99,68.67,73,91,4.0
402,Ginda,IN,30.69,78.49,61.18,72,0,5.35
403,Isangel,VU,-19.55,169.27,73.4,83,75,6.93
404,Øksfjord,NO,70.24,22.35,45.09,70,98,10.29
405,Amberg,DE,49.44,11.86,52.81,87,40,0.67
406,Belaya Kholunitsa,RU,58.84,50.85,37.08,96,52,6.13
407,Dryden,CA,49.78,-92.75,66.2,55,90,11.41
408,Bahraich,IN,27.58,81.6,82.0,68,91,4.0
409,Bekhtery,UA,46.25,32.29,58.17,62,0,4.97
410,Muros,ES,42.78,-9.06,60.12,93,0,3.65
411,Nueva Helvecia,UY,-34.3,-57.23,50.0,66,7,6.53
412,Port-Gentil,GA,-0.72,8.78,77.0,88,90,14.07
413,Pontianak,ID,-0.03,109.33,72.97,98,80,4.12
414,Husavik,IS,66.04,-17.34,35.6,88,75,2.24
415,Parrita,CR,9.52,-84.32,70.65,88,75,11.41
416,Çumra,TR,37.57,32.77,62.6,67,20,4.7
417,Bilibino,RU,68.05,166.44,32.22,92,85,3.8
418,Jumla,NP,29.27,82.18,56.55,68,20,1.99
419,Tanete,ID,-3.94,119.78,74.26,89,92,3.96
420,Toropets,RU,56.5,31.64,51.6,93,100,8.05
421,Manaquiri,BR,-3.32,-60.35,86.9,62,75,16.11
422,Asău,RO,46.43,26.4,53.01,81,1,2.71
423,Morondava,MG,-20.28,44.28,73.81,84,0,9.6
424,Okha,RU,53.57,142.95,49.39,70,0,6.51
425,Sumenep,ID,-7.02,113.87,80.24,76,37,8.48
426,Caxito,AO,-8.58,13.66,73.4,78,28,4.7
427,Beisfjord,NO,68.38,17.6,46.4,75,75,33.33
428,Kaabong,UG,3.48,34.15,69.13,54,7,5.41
429,Kununurra,AU,-15.77,128.73,75.2,83,50,5.19
430,Kupang,ID,-10.17,123.58,73.4,88,20,4.7
431,Darhan,MN,49.49,105.92,45.46,74,0,3.44
432,Luena,AO,-11.78,19.92,69.4,54,26,3.71
433,Nsanje,MW,-16.92,35.26,76.39,55,0,5.79
